id,event_id,name,distance_km,elevation_m,race_type,terrain,fee_eur,fee_rsd,cutoff,race_url,source,description,organizer,contact_email,participants,_event_id,_event_name,_event_date
ac3970b9f357dec36904b3a2394beb37,18e01e3c5d3078b8f6974970a58bfe84,[5.0 km] Virtualna novogodišnja trka za Janu,5.0,,5 km,,,2000.0,,https://trka.rs/races/1987-virtualna-novogodi%C5%A1nja-humanitarna-trka-za-janu-vi/,trka.rs,"Ovo je virtualna trka, tako da je možete trčati bilo gde. Potrebno je samo da: - Istrčite 17. januara - Istrčite 5 km - Pošaljete dokaz o istrčanoj trci na mejl cfprijateljstvo@gmail.com Da biste poslali dokaz o istrčanoj trci morate da instalirate aplikaciju Strava ili bilo koju drugu koja će prikazati vašu rutu i kilometražu. Kotizacija iznosi 2000,00. U kotizaciju je uključeno: - Novčana pomoć Jani - Medalja sa trke za uspomenu na vašu humanost - Troškovi kurirske službe za slanje medalje (potrudićemo se da budu što manji, kako bi što više novca bilo uplaćeno Jani) Ko je Jana? https://fondacija.rs/korisnik/376/pomozimo-jani-da-ozdravi","Fondacija CF prijateljstvo, Pana Đukića 1, Knjaževac",cfprijateljstvo@gmail.com,,18e01e3c5d3078b8f6974970a58bfe84,Virtualna novogodišnja humanitarna trka za Janu,2026-01-17
c57946d541d63ae9ce3c9789c78558b6,eaeb5d506b3b7cff46b86505ef9fde9a,[16.0 km] Vezirac trejl,16.0,,Trail,trail,10.0,1000.0,,https://trka.rs/races/1988-5-vezirac-trejl-2026-vezirac-trejl/,trka.rs,"Сад већ традиционални, јубиларни Везирац трејл на обронцима Фрушке горе дана 17. I 2026. са стартом у 11:00. Дужина 16km D+/-300м. Старт и циљ: Петроварадин, Томе Маретића 127 (45.224918, 19.894818), 1.5км удаљено од окретнице линије 3 и 9 у Петроварадину. Стаза трке иде предграђем Петроварадина преко Везирца (споменик победницима у чувеној битци 1716. године), предграђем Буковца, поред Стражиловског планинарског дома, кроз предграђе Сремских Карловаца и преко Заноша се враћа у Петроварадин. Стаза је делом асфалт, делом туцаник, делом земљани пут. Очекује се лепо време без блата. Стаза ће бити маркирана, биће окрепа на контролној тачки и циљу. Прва три места у мушкој и женској конкуренцији добијају медаље, проглашење победника је у 13 часова, сви учесници добијају медаље.","АРК ""Фрушка гора"" и ПК ""Железничар"" Инђија",zovcin@uns.ac.rs,,eaeb5d506b3b7cff46b86505ef9fde9a,5. Vezirac trejl 2026,2026-01-17
686b58c7e407707e770deef9699c2d09,c181c0d5277cf210ba97302a407b04aa,[10.0 km] Preko 17 godina - 10km,10.0,,Trail,trail,,3000.0,,https://trka.rs/races/1954-2-humanitarna-trail-trka-krug-oko-%C5%A1ume-preko-17-go/,trka.rs,"Na ovoj trci mogu učestvovati samo osobe starije od 17 godina. Sav prikupljeni novac će biti iskorišćen za zamenu poda sale u Kulturno-umetničkom društvu ""Abrašević"" i za renoviranje sale Veslačkog kluba ""Tamiš"" iz Pančeva.",Heartbeat Events,heartbeatevents25@gmail.com,,c181c0d5277cf210ba97302a407b04aa,"2. Humanitarna trail trka ""Krug oko šume""",2026-01-24
6f6288875cb919a297fb1310ce30f3b2,c181c0d5277cf210ba97302a407b04aa,[5.0 km] Preko 17 godina - 5km,5.0,,Trail,trail,,2500.0,,https://trka.rs/races/1955-2-humanitarna-trail-trka-krug-oko-%C5%A1ume-preko-17-go/,trka.rs,"Na ovoj trci mogu učestvovati samo osobe starije od 17 godina. Sav sakupljeni novac će biti iskorišćen za zamenu poda sale u Kulturno-umetničkom društvu ""Abrašević"" i za renoviranje sale Veslačkog kluba ""Tamiš"" iz Pančeva.",Heartbeat Events,heartbeatevents25@gmail.com,,c181c0d5277cf210ba97302a407b04aa,"2. Humanitarna trail trka ""Krug oko šume""",2026-01-24
b1d126925aa09f8c694271e4c098b9a6,c181c0d5277cf210ba97302a407b04aa,[5.0 km] Do 17 godina - 5km,5.0,,Trail,trail,,2500.0,,https://trka.rs/races/1956-2-humanitarna-trail-trka-krug-oko-%C5%A1ume-do-17-godin/,trka.rs,"Na ovoj trci mogu učestvovati samo osobe od 15 do 17 godina. Odnosno samo 2011 i 2010 godište. Sav sakupljeni novac će biti iskorišćen za zamenu poda sale u Kulturno-umetničkom društvu ""Abrašević"" i renoviranje sale Veslačkog kluba ""Tamiš"" iz Pančeva.",Heartbeat Events,heartbeatevents25@gmail.com,,c181c0d5277cf210ba97302a407b04aa,"2. Humanitarna trail trka ""Krug oko šume""",2026-01-24
a03cc7173c9abb75041ebd17b109f076,c181c0d5277cf210ba97302a407b04aa,[5.0 km] Do 15 godina - 5km,5.0,,Trail,trail,,2500.0,,https://trka.rs/races/1957-2-humanitarna-trail-trka-krug-oko-%C5%A1ume-do-15-godin/,trka.rs,"Na ovoj trci mogu učestvovati samo osobe mlađe od 15 godina. Odnosno 2012 godište i mlađi. Sav sakupljeni novac će biti iskorišćen za zamenu poda sale u Kulturno-umetničkom društvu ""Abrašević"" i renoviranje sale Veslačkog kluba ""Tamiš"" iz Pančeva.",Heartbeat Events,heartbeatevents25@gmail.com,,c181c0d5277cf210ba97302a407b04aa,"2. Humanitarna trail trka ""Krug oko šume""",2026-01-24
9d89f618af2f9477b5c29a16349500de,5a44562c88f3a64b381fa7c062b6160a,[7.0 km] Plavi Izazov - 7km,7.0,,Trail,trail,38.0,3800.0,,https://trka.rs/races/1974-winter-challenge-race-plavi-izazov-7km/,trka.rs,"Winter Challenge Race, Zlatibor 📍 Prva trka iz Challenge Race Serbia serijala koju organizuje Savez za fitnes i rekreaciju Srbije. Zimska trka koja testira izdržljivost, snagu i karakter. 📅 Datum: Subota, 24.01.2026. 📏 Dužina staze: 7 km 👥 Kategorije: • Seniori (do 40 godina) • Veterani (40+ godina) ⏰ Start trke: Planiran za 12:00 časova. Satnica je podložna promenama, pratite obaveštenja na Instagram profilu 👉 @challengeraceserbia 🎒 Startni paket: • Sportska vrećica • Medalja • Majica • Startni broj • Čip za elektronsko merenje vremena • Ručak nakon završetka trke • Pokloni sponzora 🏆 Nagrade: • Medalje i pehari • 1. mesto - Nike vaučer za bilo koje patike u Nike-u • 2. mesto - Nike vaučer za bilo koji šorc u Nike-u • 3. mesto - Nike vaučer za bilo koju majicu u Nike-u • Pokloni sponzora 💧 Okrepne stanice: Obezbeđene na startu, tokom trke i na cilju. 💆 Nakon trke: Za učesnike će biti obezbeđen i štand za masažu radi bržeg oporavka. 💳 Kotizacija: • Uplate do 12. januara: 3.000 din (30 €) • Nakon 12. januara: 3.800 din (38 €) • Prijave će biti moguće i na dan trke: 4.000 din (40 €) Zdravlje počinje u prirodi. Prijavi se i testiraj svoje granice.",Savez za rekreaciju i fitnes Srbije Zdravka Čelara 14 Beograd,office@srfs.org.rs,,5a44562c88f3a64b381fa7c062b6160a,Winter Challenge Race,2026-01-24
b4a8c7e8306ea7781a9bd9aabd57ff5e,5a44562c88f3a64b381fa7c062b6160a,[12.0 km] Crveni Izazov - 12km,12.0,,Trail,trail,38.0,3800.0,,https://trka.rs/races/1975-winter-challenge-race-crveni-izazov-12km/,trka.rs,"Winter Challenge Race, Zlatibor 📍 Prva trka iz Challenge Race Serbia serijala koju organizuje Savez za fitnes i rekreaciju Srbije. Zimska trka koja testira izdržljivost, snagu i karakter. 📅 Datum: Subota, 24.01.2026. 📏 Dužina staze: 12 km 👥 Kategorije: • Seniori (do 40 godina) • Veterani (40+ godina) ⏰ Start trke: Planiran za 12:00 časova. Satnica je podložna promenama, pratite obaveštenja na Instagram profilu 👉 @challengeraceserbia 🎒 Startni paket: • Sportska vrećica • Medalja • Majica • Startni broj • Čip za elektronsko merenje vremena • Ručak nakon završetka trke • Pokloni sponzora 🏆 Nagrade: • Medalje i pehari • 1. mesto - Nike vaučer za bilo koje patike u Nike-u • 2. mesto - Nike vaučer za bilo koji šorc u Nike-u • 3. mesto - Nike vaučer za bilo koju majicu u Nike-u • Pokloni sponzora 💧 Okrepne stanice: Obezbeđene na startu, tokom trke i na cilju. 💆 Nakon trke: Za učesnike će biti obezbeđen i štand za masažu radi bržeg oporavka. 💳 Kotizacija: • Uplate do 12. januara: 3.000 din (30 €) • Nakon 12. januara: 3.800 din (38 €) • Prijave će biti moguće i na dan trke: 4.000 din (40 €) Zdravlje počinje u prirodi. Prijavi se i testiraj svoje granice.",Savez za rekreaciju i fitnes Srbije Zdravka Čelara 14 Beograd,office@srfs.org.rs,,5a44562c88f3a64b381fa7c062b6160a,Winter Challenge Race,2026-01-24
49072ee5004b523c1bde9a1dc927a64b,b66291c662277875dd784f2b8ab71fdc,[5.0 km] 3. Humanitarna 5ica,5.0,,5 km,,,2000.0,,https://trka.rs/races/1951-3-zimska-humanitarna-5ica-3-humanitarna-5ica/,trka.rs,"U Odžacima, na kanalu DTD, 1. februara 2026. godine održaće se 3. Zimska humanitarna trka. Cilj ove trke je prikupljanje materijalnih sredstava za lečenje naših sugrađanki Jovana Barušić i Nine Vođević Ovim putem želimo da pozovemo sve ljude dobre volje da dođu, doniraju i trče za život.❤️❤️❤️ 💵 KOTIZACIJA: 2000 rsd 📌 MESTO: ODŽACI, gornji bent kanala DTD. 📏 DUŽINA STAZE: 5km Dečije trke na 100m 200m 300m 🕕PODELA STARTNIH PAKETA: startni paketi se preuzimaju na dan trke u nedelju 1. februara od 10:30 do 11:30. 🏁START TRKE: start trke je predviđen u 12:00 🛍️ STARTNI PAKET: finišerska medalja startni broj flašica vode ručak pokloni sponzora 💯 STARTNI BROJ: broj adekvatno postaviti na prednji deo majice, tako da ga ništa ne zaklanja. 🏆 NAGRADE: za najbrže u muškoj i ženskoj konkurenciji obezbeđeni su pehari. 🥤OKREPNE STANICE: obezbeđene su 2 okrepne stanice. Prva okrepna stanica je na 2,4km, druga okrepna stanica je u cilju. ⏱️ TRAJANJE TRKE: 90 minuta. 🚑 BEZBEDNOST: o bezbednosti svih takmičara brine lekarska služba. 📷 FOTO: obezbeđene su fotografije učesnika tokom trke i na cilju. ✏️ PRIJAVE: http://trka.rs 🧍ORGANIZATOR: humanitarno udruženje građana ""Odžaci"" 📬 E-MAIL ADRESA: humanitarna.petica@yahoo.com 🤸 KONTAKT OSOBA: Doroški Žarko, 060 01 76 370",Humanitarno udruženje građana Odžaci Žarka Zrenjanina 18 Odžaci,humanitarna.petica@yahoo.com,,b66291c662277875dd784f2b8ab71fdc,3. Zimska Humanitarna 5ica,2026-02-01
deff7b15f3361b800feb5832c1d4bbb9,b66291c662277875dd784f2b8ab71fdc,[0.3 km] Dečija trka,0.3,,Kids running,,,,,https://trka.rs/races/1952-3-zimska-humanitarna-5ica-de%C4%8Dija-trka/,trka.rs,Dečija trka na 100m 200m 300m Kotizacija dobrovoljni prilog,Humanitarno udruženje građana Odžaci Žarka Zrenjanina 18 Odžaci,humanitarna.petica@yahoo.com,,b66291c662277875dd784f2b8ab71fdc,3. Zimska Humanitarna 5ica,2026-02-01
